mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__alpha,param_SVM__n_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.9367820262908936,0.16752957850870495,0.0018224716186523438,0.00041296625170116535,0.1,1034,"{'SVM__alpha': 0.1, 'SVM__n_iter': 1034}",0.7618163054695561,0.7515830997612374,0.6678316435401457,0.7649265064919585,0.7020600482138943,0.7297157619937348,0.03833252767209986,17,0.7413412228796845,0.7439094042343672,0.7413912266840714,0.7296702659170455,0.7610251386165506,0.743467451666344,0.010076324595255114
0.9847863197326661,0.13399387502350973,0.006772613525390625,0.010623833484853146,0.03162277660168379,1034,"{'SVM__alpha': 0.03162277660168379, 'SVM__n_iter': 1034}",0.843859649122807,0.7812150362757649,0.7097631213690594,0.7960444613616003,0.7396263629935618,0.7742164562902,0.04635807902772308,16,0.8291333730868615,0.7900002671765921,0.7768623544364673,0.7909117210371033,0.8124265166718976,0.7998668464817843,0.018552763718588047
0.7968008041381835,0.09586921280374644,0.0011566162109375,0.0004244023598138884,0.01,1034,"{'SVM__alpha': 0.01, 'SVM__n_iter': 1034}",0.8923823720521347,0.7935607152881107,0.7384223214182729,0.8123349135494884,0.7561497525213053,0.7987177840990101,0.053788267866637075,15,0.8265059706741281,0.8289178202970239,0.8413548143313526,0.8348450184924371,0.8522502814561432,0.836774781050217,0.009288402446242624
0.8705738544464111,0.03921946588762559,0.0011991500854492188,0.00039880721502571576,0.0031622776601683794,1034,"{'SVM__alpha': 0.0031622776601683794, 'SVM__n_iter': 1034}",0.8264189886480908,0.8244249128189749,0.7391413005448094,0.8572845657865901,0.7825350749879052,0.8060166425086633,0.04101543651335942,14,0.8048413681329604,0.8010822942072298,0.8414149672326995,0.8535812732109664,0.8414572901700061,0.8284754385907724,0.02133174371447152
0.8309278964996338,0.06961748565604468,0.0014728546142578126,0.0004945790910057201,0.001,1034,"{'SVM__alpha': 0.001, 'SVM__n_iter': 1034}",0.9170851966517601,0.8891464910358298,0.7895448131615473,0.886176376729683,0.875104925177494,0.8714432287951405,0.043244986045652044,13,0.884701160497225,0.9173839594807612,0.8735709678281215,0.9135182958713584,0.9128454136325551,0.9004039594620042,0.017785855826048455
0.7759082317352295,0.14161948950918368,0.0013074398040771485,0.0006860532855798107,0.00031622776601683794,1034,"{'SVM__alpha': 0.00031622776601683794, 'SVM__n_iter': 1034}",0.9460000764438329,0.9286422828932949,0.8948079710562843,0.9409879619056406,0.8565864066589756,0.9135258928130429,0.033501970665077783,3,0.9440293258719019,0.928035603189325,0.9347351707449266,0.9357330371489968,0.9363184480705018,0.9357703170051304,0.005087443179168373
0.854181432723999,0.051412855525450885,0.0018024921417236328,0.0004011717304220741,0.0001,1034,"{'SVM__alpha': 0.0001, 'SVM__n_iter': 1034}",0.9583457554561786,0.9128631901911254,0.904206604611463,0.9565594349669923,0.8857111549419242,0.9236285933549643,0.029041849193721967,1,0.954046603366818,0.9350151718136327,0.9322733292875163,0.9461723136347849,0.9543546760111067,0.9443724188227718,0.00927815677462728
0.9032243251800537,0.023113846292411762,0.0018883228302001953,0.0003603526077301385,3.1622776601683795e-05,1034,"{'SVM__alpha': 3.1622776601683795e-05, 'SVM__n_iter': 1034}",0.9420785078163819,0.9190360296972983,0.8824622920439384,0.9506422752036787,0.8833666199413659,0.915592299955317,0.028550501481648994,2,0.952995887038821,0.939059309386677,0.9384805285516358,0.9473167454837614,0.9578270481993045,0.94713590373204,0.007600257546267036
0.7643742561340332,0.08303520023463684,0.0013921260833740234,0.0007266101975871098,1e-05,1034,"{'SVM__alpha': 1e-05, 'SVM__n_iter': 1034}",0.935905668310209,0.9200337574156737,0.8918609255991172,0.9321237566851601,0.8747555191677107,0.9110164304441849,0.02375760173526905,4,0.933762518538905,0.9237809304615666,0.9482940011221417,0.9174402955736474,0.9246684912127137,0.9295892473817948,0.010703564092355747
0.8773895263671875,0.0968832127604568,0.0016225337982177734,0.000580238872258634,3.162277660168379e-06,1034,"{'SVM__alpha': 3.162277660168379e-06, 'SVM__n_iter': 1034}",0.9248366013071896,0.8955980791338416,0.9017709186400146,0.9193147782891371,0.8585587932467468,0.9001049448338384,0.023325321566101287,5,0.9195937495221932,0.9203400012977148,0.9277875106393536,0.9203474822422987,0.9268205629506777,0.9229778613304476,0.0035560791511777853
0.7768031597137451,0.054813523303152215,0.0013713836669921875,0.000516580804138645,1e-06,1034,"{'SVM__alpha': 1e-06, 'SVM__n_iter': 1034}",0.9068990559186637,0.9089414858645628,0.9165753524727885,0.8884505807582731,0.8267628463564604,0.8896440604920818,0.03263079395579403,7,0.9068463220341575,0.9290766758651751,0.9380858705567579,0.9043568868583469,0.9017690466386986,0.9160269603906273,0.014701383833657442
0.7378180980682373,0.0879568762986742,0.0016191482543945312,0.0004637824048892156,3.162277660168379e-07,1034,"{'SVM__alpha': 3.162277660168379e-07, 'SVM__n_iter': 1034}",0.9416848220769789,0.885455475199065,0.889425239627669,0.8751071740275518,0.9078250406262017,0.8999210013380738,0.02345546257702692,6,0.9053650444169228,0.8769761716647773,0.9089648433772648,0.8856018534421887,0.9362221099276996,0.9026260045657706,0.02061124528795665
0.7186006069183349,0.0747962164367058,0.0014820575714111328,0.0005190766691482266,1e-07,1034,"{'SVM__alpha': 1e-07, 'SVM__n_iter': 1034}",0.889760348583878,0.8765682011296045,0.8938563810358683,0.8877085327827567,0.8287579753472352,0.8754192660104966,0.023918343913293935,10,0.8911225784749935,0.9109643929938663,0.9163071614777156,0.9107726365367806,0.9045456966723391,0.906742493231139,0.008652826398901138
0.6878021717071533,0.06451525921265917,0.0018112659454345703,0.00047638043942511,3.162277660168379e-08,1034,"{'SVM__alpha': 3.162277660168379e-08, 'SVM__n_iter': 1034}",0.9167029774872911,0.8763125213867453,0.8706279725173113,0.8812800135337248,0.8255120141912594,0.8742027044956635,0.029105828182228025,12,0.8949211809855817,0.8959942595200745,0.9270752941805122,0.9173331195920595,0.9142519745120227,0.9099151657580501,0.012545239468188245
0.7435573101043701,0.018414664510734684,0.005248832702636719,0.007386344534378173,1e-08,1034,"{'SVM__alpha': 1e-08, 'SVM__n_iter': 1034}",0.9085693536673929,0.8654528607295139,0.8941120607787275,0.894879100007305,0.8086164762507287,0.8744629945807391,0.03565759778324127,11,0.922907817684204,0.9029155073110966,0.923294211046607,0.9169798358009,0.9133176264969004,0.9158829996679417,0.007486176184073682
0.7305169582366944,0.11155672732115059,0.0013794898986816406,0.000511715991770567,3.1622776601683795e-09,1034,"{'SVM__alpha': 3.1622776601683795e-09, 'SVM__n_iter': 1034}",0.8751633986928105,0.9141165976523601,0.8908862667297215,0.8709067211091502,0.8704385975793814,0.8843176914725248,0.016657168321232645,8,0.8856294053789582,0.9242074969751792,0.9046049794083185,0.8741760083053752,0.92633323351598,0.9029902247167623,0.020636536773810502
0.6923470497131348,0.045084760614545166,0.001399993896484375,0.0004941824225575529,1e-09,1034,"{'SVM__alpha': 1e-09, 'SVM__n_iter': 1034}",0.8942628903413218,0.9037433052277856,0.8931143330603519,0.8711624008520095,0.8429595722774242,0.8811224393477574,0.02179186446611951,9,0.8998672843753345,0.8955957847167355,0.9201821380997639,0.8609234386390787,0.8945957541153063,0.8942328799892436,0.01906105232803301
